campaign_id,campaign_name,date,channel,spend,impressions,clicks,conversions
CAMP00001,LumaStyle_GoogleAds_202401,2024-01-01,Google Ads,274.64,13068,331,13
CAMP00002,LumaStyle_MetaAds_202401,2024-01-01,Meta Ads,407.51,22409,316,11
CAMP00003,LumaStyle_Email_202401,2024-01-01,Email,20.53,3634,769,21
CAMP00004,LumaStyle_Organic_202401,2024-01-01,Organic,0.0,7755,295,5
CAMP00005,LumaStyle_Referral_202401,2024-01-01,Referral,0.0,1494,99,6
CAMP00006,LumaStyle_GoogleAds_202401,2024-01-02,Google Ads,259.29,11306,347,10
CAMP00007,LumaStyle_MetaAds_202401,2024-01-02,Meta Ads,121.15,9076,76,2
CAMP00008,LumaStyle_Email_202401,2024-01-02,Email,45.95,2365,427,10
CAMP00009,LumaStyle_Organic_202401,2024-01-02,Organic,0.0,5123,191,4
CAMP00010,LumaStyle_Referral_202401,2024-01-02,Referral,0.0,1292,124,5
CAMP00011,LumaStyle_GoogleAds_202401,2024-01-03,Google Ads,156.68,9044,197,5
CAMP00012,LumaStyle_MetaAds_202401,2024-01-03,Meta Ads,124.94,6519,109,6
CAMP00013,LumaStyle_Email_202401,2024-01-03,Email,71.69,2719,480,9
CAMP00014,LumaStyle_Organic_202401,2024-01-03,Organic,0.0,6397,214,2
CAMP00015,LumaStyle_Referral_202401,2024-01-03,Referral,0.0,1859,169,11
CAMP00016,LumaStyle_GoogleAds_202401,2024-01-04,Google Ads,442.62,23501,762,33
CAMP00017,LumaStyle_MetaAds_202401,2024-01-04,Meta Ads,435.34,30185,575,32
CAMP00018,LumaStyle_Email_202401,2024-01-04,Email,60.75,2483,406,9
CAMP00019,LumaStyle_Organic_202401,2024-01-04,Organic,0.0,7128,150,2
CAMP00020,LumaStyle_Referral_202401,2024-01-04,Referral,0.0,870,83,3
CAMP00021,LumaStyle_GoogleAds_202401,2024-01-05,Google Ads,370.8,19623,334,13
CAMP00022,LumaStyle_MetaAds_202401,2024-01-05,Meta Ads,325.48,16401,315,10
CAMP00023,LumaStyle_Email_202401,2024-01-05,Email,38.63,4504,533,15
CAMP00024,LumaStyle_Organic_202401,2024-01-05,Organic,0.0,7500,258,7
CAMP00025,LumaStyle_Referral_202401,2024-01-05,Referral,0.0,973,70,4
CAMP00026,LumaStyle_GoogleAds_202401,2024-01-06,Google Ads,316.11,14064,428,15
CAMP00027,LumaStyle_MetaAds_202401,2024-01-06,Meta Ads,243.44,15610,215,8
CAMP00028,LumaStyle_Email_202401,2024-01-06,Email,22.86,3704,680,14
CAMP00029,LumaStyle_Organic_202401,2024-01-06,Organic,0.0,5960,169,2
CAMP00030,LumaStyle_Referral_202401,2024-01-06,Referral,0.0,1013,109,5
CAMP00031,LumaStyle_GoogleAds_202401,2024-01-07,Google Ads,152.41,7192,170,5
CAMP00032,LumaStyle_MetaAds_202401,2024-01-07,Meta Ads,247.72,13130,155,8
CAMP00033,LumaStyle_Email_202401,2024-01-07,Email,69.83,4132,894,15
CAMP00034,LumaStyle_Organic_202401,2024-01-07,Organic,0.0,4291,94,2
CAMP00035,LumaStyle_Referral_202401,2024-01-07,Referral,0.0,872,82,5
CAMP00036,LumaStyle_GoogleAds_202401,2024-01-08,Google Ads,195.54,8404,157,6
CAMP00037,LumaStyle_MetaAds_202401,2024-01-08,Meta Ads,199.1,14664,201,10
CAMP00038,LumaStyle_Email_202401,2024-01-08,Email,36.33,2304,412,5
CAMP00039,LumaStyle_Organic_202401,2024-01-08,Organic,0.0,6707,174,1
CAMP00040,LumaStyle_Referral_202401,2024-01-08,Referral,0.0,1409,109,7
CAMP00041,LumaStyle_GoogleAds_202401,2024-01-09,Google Ads,381.4,18185,581,16
CAMP00042,LumaStyle_MetaAds_202401,2024-01-09,Meta Ads,101.86,5132,80,4
CAMP00043,LumaStyle_Email_202401,2024-01-09,Email,62.85,3901,764,20
CAMP00044,LumaStyle_Organic_202401,2024-01-09,Organic,0.0,6494,248,5
CAMP00045,LumaStyle_Referral_202401,2024-01-09,Referral,0.0,1248,79,4
CAMP00046,LumaStyle_GoogleAds_202401,2024-01-10,Google Ads,158.22,9369,167,7
CAMP00047,LumaStyle_MetaAds_202401,2024-01-10,Meta Ads,418.97,21620,430,24
CAMP00048,LumaStyle_Email_202401,2024-01-10,Email,42.96,4869,577,6
CAMP00049,LumaStyle_Organic_202401,2024-01-10,Organic,0.0,5843,161,2
CAMP00050,LumaStyle_Referral_202401,2024-01-10,Referral,0.0,1109,114,5
CAMP00051,LumaStyle_GoogleAds_202401,2024-01-11,Google Ads,170.73,10145,352,12
CAMP00052,LumaStyle_MetaAds_202401,2024-01-11,Meta Ads,388.48,28818,521,28
CAMP00053,LumaStyle_Email_202401,2024-01-11,Email,34.36,2422,259,4
CAMP00054,LumaStyle_Organic_202401,2024-01-11,Organic,0.0,5597,183,2
CAMP00055,LumaStyle_Referral_202401,2024-01-11,Referral,0.0,622,56,3
CAMP00056,LumaStyle_GoogleAds_202401,2024-01-12,Google Ads,456.35,18492,445,9
CAMP00057,LumaStyle_MetaAds_202401,2024-01-12,Meta Ads,342.11,23037,277,17
CAMP00058,LumaStyle_Email_202401,2024-01-12,Email,28.69,2303,356,3
CAMP00059,LumaStyle_Organic_202401,2024-01-12,Organic,0.0,6354,189,5
CAMP00060,LumaStyle_Referral_202401,2024-01-12,Referral,0.0,1525,83,5
CAMP00061,LumaStyle_GoogleAds_202401,2024-01-13,Google Ads,220.02,11911,194,5
CAMP00062,LumaStyle_MetaAds_202401,2024-01-13,Meta Ads,334.14,24578,450,22
CAMP00063,LumaStyle_Email_202401,2024-01-13,Email,77.15,2513,513,14
CAMP00064,LumaStyle_Organic_202401,2024-01-13,Organic,0.0,4977,191,3
CAMP00065,LumaStyle_Referral_202401,2024-01-13,Referral,0.0,1620,178,7
CAMP00066,LumaStyle_GoogleAds_202401,2024-01-14,Google Ads,233.32,10922,294,12
CAMP00067,LumaStyle_MetaAds_202401,2024-01-14,Meta Ads,252.44,16085,218,11
CAMP00068,LumaStyle_Email_202401,2024-01-14,Email,69.69,2460,440,8
CAMP00069,LumaStyle_Organic_202401,2024-01-14,Organic,0.0,5094,170,4
CAMP00070,LumaStyle_Referral_202401,2024-01-14,Referral,0.0,1450,111,8
CAMP00071,LumaStyle_GoogleAds_202401,2024-01-15,Google Ads,386.07,19375,351,15
CAMP00072,LumaStyle_MetaAds_202401,2024-01-15,Meta Ads,270.9,19910,301,13
CAMP00073,LumaStyle_Email_202401,2024-01-15,Email,53.43,3893,706,8
CAMP00074,LumaStyle_Organic_202401,2024-01-15,Organic,0.0,6334,238,3
CAMP00075,LumaStyle_Referral_202401,2024-01-15,Referral,0.0,1562,91,6
CAMP00076,LumaStyle_GoogleAds_202401,2024-01-16,Google Ads,168.18,9700,276,10
CAMP00077,LumaStyle_MetaAds_202401,2024-01-16,Meta Ads,152.98,10682,113,7
CAMP00078,LumaStyle_Email_202401,2024-01-16,Email,66.18,2602,422,11
CAMP00079,LumaStyle_Organic_202401,2024-01-16,Organic,0.0,4370,140,3
CAMP00080,LumaStyle_Referral_202401,2024-01-16,Referral,0.0,1545,77,5
CAMP00081,LumaStyle_GoogleAds_202401,2024-01-17,Google Ads,175.58,9700,239,10
CAMP00082,LumaStyle_MetaAds_202401,2024-01-17,Meta Ads,114.82,7686,106,4
CAMP00083,LumaStyle_Email_202401,2024-01-17,Email,63.58,3728,546,9
CAMP00084,LumaStyle_Organic_202401,2024-01-17,Organic,0.0,6531,179,3
CAMP00085,LumaStyle_Referral_202401,2024-01-17,Referral,0.0,1294,154,12
CAMP00086,LumaStyle_GoogleAds_202401,2024-01-18,Google Ads,234.81,12323,362,9
CAMP00087,LumaStyle_MetaAds_202401,2024-01-18,Meta Ads,205.59,16171,146,5
CAMP00088,LumaStyle_Email_202401,2024-01-18,Email,52.67,4527,971,22
CAMP00089,LumaStyle_Organic_202401,2024-01-18,Organic,0.0,3007,80,1
CAMP00090,LumaStyle_Referral_202401,2024-01-18,Referral,0.0,1627,186,8
CAMP00091,LumaStyle_GoogleAds_202401,2024-01-19,Google Ads,439.08,24251,787,16
CAMP00092,LumaStyle_MetaAds_202401,2024-01-19,Meta Ads,136.01,8552,154,7
CAMP00093,LumaStyle_Email_202401,2024-01-19,Email,26.71,2310,253,5
CAMP00094,LumaStyle_Organic_202401,2024-01-19,Organic,0.0,7595,230,6
CAMP00095,LumaStyle_Referral_202401,2024-01-19,Referral,0.0,876,97,4
