return_id,transaction_id,return_date,return_reason,refund_amount
RET00001,TX000029,2024-09-19 00:00:00,Defective,112.1
RET00002,TX000040,2025-10-15 00:00:00,Wrong Size,14.99
RET00003,TX000049,2025-10-26 00:00:00,Changed Mind,132.81
RET00004,TX000062,2025-02-16 00:00:00,Defective,143.4
RET00005,TX000068,2024-10-18 00:00:00,Not as Described,24.57
RET00006,TX000075,2024-11-12 00:00:00,Defective,63.16
RET00007,TX000076,2026-02-13 00:00:00,Late Delivery,472.4
RET00008,TX000078,2026-02-01 00:00:00,Changed Mind,484.22
RET00009,TX000080,2024-12-23 00:00:00,Wrong Size,218.22
RET00010,TX000087,2026-02-23 00:00:00,Changed Mind,62.18
RET00011,TX000088,2026-03-01 00:00:00,Wrong Size,72.32
RET00012,TX000095,2025-06-04 00:00:00,Defective,165.3
RET00013,TX000103,2026-04-25 00:00:00,Late Delivery,89.88
RET00014,TX000119,2026-05-22 00:00:00,Not as Described,185.72
RET00015,TX000121,2026-01-03 00:00:00,Late Delivery,192.33
RET00016,TX000122,2026-04-03 00:00:00,Wrong Size,287.6
RET00017,TX000133,2026-03-18 00:00:00,Defective,77.64
RET00018,TX000146,2025-10-04 00:00:00,Not as Described,210.73
RET00019,TX000161,2025-11-15 00:00:00,Defective,140.15
RET00020,TX000174,2026-06-13 00:00:00,Late Delivery,261.08
RET00021,TX000179,2026-01-17 00:00:00,Defective,191.38
RET00022,TX000184,2026-03-05 00:00:00,Changed Mind,120.61
RET00023,TX000208,2025-04-11 00:00:00,Wrong Size,69.29
RET00024,TX000219,2026-02-24 00:00:00,Late Delivery,99.68
RET00025,TX000232,2025-09-25 00:00:00,Wrong Size,128.4
RET00026,TX000244,2026-01-21 00:00:00,Wrong Size,65.76
RET00027,TX000251,2026-05-14 00:00:00,Not as Described,329.37
RET00028,TX000252,2025-11-04 00:00:00,Changed Mind,65.2
RET00029,TX000255,2026-01-28 00:00:00,Changed Mind,461.3
RET00030,TX000256,2026-04-13 00:00:00,Defective,193.65
RET00031,TX000260,2024-12-31 00:00:00,Wrong Size,155.02
RET00032,TX000268,2025-12-30 00:00:00,Defective,51.04
RET00033,TX000271,2025-07-06 00:00:00,Not as Described,93.39
RET00034,TX000283,2025-09-25 00:00:00,Changed Mind,149.56
RET00035,TX000295,2025-06-06 00:00:00,Defective,32.01
RET00036,TX000307,2026-02-19 00:00:00,Defective,74.07
RET00037,TX000313,2025-12-23 00:00:00,Late Delivery,178.85
RET00038,TX000329,2025-03-08 00:00:00,Wrong Size,155.31
