transaction_id,customer_id,transaction_date,product_category,size_tier,quantity,price_per_unit,discount_percent,sales_channel,total_amount
TX000001,CUST00001,2026-02-17 00:00:00,Accessories,S,1,13.09,0.0,Online,13.09
TX000002,CUST00001,2026-06-05 00:00:00,Apparel,M,2,79.93,0.0,Online,159.86
TX000003,CUST00002,2025-12-12 00:00:00,Home & Living,M,1,114.48,0.0,Online,114.48
TX000004,CUST00002,2026-05-08 00:00:00,Footwear,M,1,132.13,0.0,In-Store,132.13
TX000005,CUST00002,2026-06-21 00:00:00,Footwear,XL,1,194.32,0.0,Online,194.32
TX000006,CUST00003,2024-04-03 00:00:00,Accessories,M,1,19.6,11.85,Online,17.28
TX000007,CUST00003,2025-04-21 00:00:00,Apparel,M,1,105.37,12.18,Online,92.54
TX000008,CUST00003,2025-07-20 00:00:00,Accessories,M,1,22.47,0.0,In-Store,22.47
TX000009,CUST00003,2025-09-03 00:00:00,Footwear,L,1,185.85,14.54,Online,158.83
TX000010,CUST00003,2025-11-04 00:00:00,Accessories,XS,1,12.75,0.0,In-Store,12.75
TX000011,CUST00003,2026-02-15 00:00:00,Home & Living,M,1,264.8,0.0,Online,264.8
TX000012,CUST00004,2024-05-21 00:00:00,Apparel,S,1,103.75,0.0,In-Store,103.75
TX000013,CUST00004,2025-06-23 00:00:00,Accessories,L,1,60.26,0.0,In-Store,60.26
TX000014,CUST00004,2025-09-03 00:00:00,Accessories,M,3,24.17,7.14,Online,67.33
TX000015,CUST00004,2026-02-18 00:00:00,Apparel,M,1,60.6,0.0,Online,60.6
TX000016,CUST00005,2025-09-05 00:00:00,Footwear,L,1,193.77,33.43,Online,128.99
TX000017,CUST00005,2025-09-12 00:00:00,Footwear,S,1,194.11,0.0,In-Store,194.11
TX000018,CUST00005,2025-09-22 00:00:00,Accessories,L,1,65.86,9.39,Online,59.68
TX000019,CUST00005,2025-12-26 00:00:00,Apparel,L,1,32.61,0.0,Online,32.61
TX000020,CUST00005,2026-01-02 00:00:00,Home & Living,M,2,267.34,0.0,In-Store,534.68
TX000021,CUST00005,2026-01-30 00:00:00,Home & Living,M,1,228.25,0.0,Online,228.25
TX000022,CUST00005,2026-03-02 00:00:00,Accessories,S,1,61.42,9.01,In-Store,55.89
TX000023,CUST00005,2026-06-04 00:00:00,Accessories,S,1,56.38,0.0,In-Store,56.38
TX000024,CUST00006,2026-06-21 00:00:00,Accessories,S,1,54.69,0.0,In-Store,54.69
TX000025,CUST00007,2024-04-28 00:00:00,Footwear,L,2,124.12,12.11,In-Store,218.18
TX000026,CUST00007,2024-06-03 00:00:00,Footwear,L,1,114.7,12.54,In-Store,100.32
TX000027,CUST00007,2024-07-14 00:00:00,Accessories,M,1,19.49,0.0,Online,19.49
TX000028,CUST00007,2024-08-12 00:00:00,Home & Living,XL,1,206.52,12.03,In-Store,181.68
TX000029,CUST00007,2024-09-13 00:00:00,Accessories,XS,2,56.05,0.0,Online,112.1
TX000030,CUST00007,2024-10-03 00:00:00,Footwear,M,3,199.51,0.0,In-Store,598.53
TX000031,CUST00007,2024-10-05 00:00:00,Apparel,M,1,72.93,0.0,In-Store,72.93
TX000032,CUST00007,2024-11-03 00:00:00,Apparel,L,1,49.73,0.0,In-Store,49.73
TX000033,CUST00007,2025-01-05 00:00:00,Home & Living,XL,2,149.73,0.0,Online,299.46
TX000034,CUST00007,2025-01-07 00:00:00,Home & Living,M,2,280.45,0.0,In-Store,560.9
TX000035,CUST00007,2025-04-25 00:00:00,Home & Living,M,1,150.48,0.0,In-Store,150.48
TX000036,CUST00007,2025-05-29 00:00:00,Footwear,L,1,72.29,6.26,Online,67.76
TX000037,CUST00007,2025-06-27 00:00:00,Footwear,M,1,103.48,0.0,Online,103.48
TX000038,CUST00007,2025-07-03 00:00:00,Accessories,S,1,16.08,0.0,Online,16.08
TX000039,CUST00007,2025-07-31 00:00:00,Home & Living,XS,1,210.73,0.0,In-Store,210.73
TX000040,CUST00007,2025-10-04 00:00:00,Accessories,L,1,14.99,0.0,In-Store,14.99
TX000041,CUST00007,2025-11-15 00:00:00,Footwear,M,1,189.37,16.32,Online,158.46
TX000042,CUST00007,2025-12-19 00:00:00,Footwear,XL,1,193.28,0.0,Online,193.28
TX000043,CUST00007,2026-01-06 00:00:00,Footwear,M,1,159.73,0.0,In-Store,159.73
TX000044,CUST00007,2026-04-02 00:00:00,Apparel,M,2,51.88,0.0,In-Store,103.76
TX000045,CUST00007,2026-04-19 00:00:00,Apparel,XS,1,41.91,0.0,In-Store,41.91
TX000046,CUST00008,2025-11-27 00:00:00,Apparel,XL,1,101.1,0.0,In-Store,101.1
TX000047,CUST00009,2024-11-27 00:00:00,Footwear,M,1,108.21,26.01,Online,80.06
TX000048,CUST00009,2025-05-18 00:00:00,Accessories,S,1,37.69,8.42,Online,34.52
TX000049,CUST00009,2025-10-13 00:00:00,Accessories,M,3,44.27,0.0,Online,132.81
TX000050,CUST00010,2026-02-09 00:00:00,Apparel,M,1,112.14,0.0,Online,112.14
TX000051,CUST00010,2026-03-05 00:00:00,Home & Living,L,1,190.18,0.0,Online,190.18
TX000052,CUST00010,2026-05-11 00:00:00,Accessories,S,2,12.94,0.0,In-Store,25.88
TX000053,CUST00010,2026-06-29 00:00:00,Footwear,S,1,89.76,0.0,In-Store,89.76
TX000054,CUST00011,2024-02-21 00:00:00,Apparel,M,1,87.3,0.0,Online,87.3
TX000055,CUST00011,2024-03-05 00:00:00,Footwear,XL,1,171.97,0.0,In-Store,171.97
TX000056,CUST00011,2024-06-03 00:00:00,Home & Living,M,1,70.81,0.0,In-Store,70.81
TX000057,CUST00011,2025-03-26 00:00:00,Apparel,M,1,86.62,0.0,Online,86.62
TX000058,CUST00011,2025-05-05 00:00:00,Accessories,XL,1,60.03,9.22,Online,54.5
TX000059,CUST00011,2025-08-16 00:00:00,Footwear,S,3,120.72,0.0,Online,362.16
TX000060,CUST00011,2026-01-05 00:00:00,Footwear,XL,1,51.18,0.0,In-Store,51.18
TX000061,CUST00012,2024-05-20 00:00:00,Footwear,S,1,59.11,25.17,Online,44.23
TX000062,CUST00012,2025-02-04 00:00:00,Footwear,M,1,143.4,0.0,Online,143.4
TX000063,CUST00012,2025-05-27 00:00:00,Footwear,M,1,84.82,36.82,Online,53.59
TX000064,CUST00012,2025-08-23 00:00:00,Footwear,L,1,94.01,0.0,In-Store,94.01
TX000065,CUST00012,2025-08-25 00:00:00,Home & Living,S,2,246.94,0.0,In-Store,493.88
TX000066,CUST00012,2025-09-20 00:00:00,Footwear,M,1,79.92,0.0,Online,79.92
TX000067,CUST00012,2025-11-01 00:00:00,Home & Living,S,1,182.56,0.0,Online,182.56
TX000068,CUST00013,2024-10-09 00:00:00,Accessories,M,1,24.57,0.0,Online,24.57
TX000069,CUST00013,2025-05-26 00:00:00,Accessories,XS,2,66.79,0.0,Online,133.58
TX000070,CUST00013,2025-08-29 00:00:00,Footwear,M,3,163.36,0.0,In-Store,490.08
TX000071,CUST00014,2026-01-11 00:00:00,Apparel,M,2,111.54,12.3,Online,195.64
TX000072,CUST00015,2026-02-20 00:00:00,Apparel,S,2,66.72,0.0,In-Store,133.44
TX000073,CUST00016,2025-12-26 00:00:00,Home & Living,L,2,144.98,0.0,Online,289.96
TX000074,CUST00016,2026-02-11 00:00:00,Accessories,XL,1,37.87,0.0,In-Store,37.87
TX000075,CUST00017,2024-11-01 00:00:00,Apparel,M,1,63.16,0.0,Online,63.16
TX000076,CUST00017,2026-02-02 00:00:00,Apparel,XL,4,118.1,0.0,In-Store,472.4
TX000077,CUST00018,2025-05-17 00:00:00,Accessories,L,2,39.0,0.0,Online,78.0
TX000078,CUST00018,2026-01-26 00:00:00,Home & Living,S,2,242.11,0.0,Online,484.22
TX000079,CUST00019,2024-11-08 00:00:00,Home & Living,S,2,77.41,16.95,Online,128.58
TX000080,CUST00019,2024-12-12 00:00:00,Footwear,M,4,66.57,18.05,In-Store,218.22
TX000081,CUST00019,2025-03-11 00:00:00,Footwear,L,1,160.53,0.0,In-Store,160.53
TX000082,CUST00019,2025-05-22 00:00:00,Accessories,M,1,28.49,0.0,In-Store,28.49
TX000083,CUST00019,2025-06-20 00:00:00,Accessories,S,1,43.57,12.79,Online,38.0
TX000084,CUST00019,2026-01-10 00:00:00,Footwear,M,1,59.33,0.0,Online,59.33
TX000085,CUST00019,2026-01-19 00:00:00,Footwear,M,1,127.84,14.23,Online,109.65
TX000086,CUST00019,2026-01-20 00:00:00,Footwear,M,2,112.54,22.7,Online,173.99
TX000087,CUST00019,2026-02-09 00:00:00,Apparel,XL,1,68.27,8.92,Online,62.18
TX000088,CUST00019,2026-02-21 00:00:00,Apparel,XL,1,79.32,8.83,Online,72.32
TX000089,CUST00020,2025-05-08 00:00:00,Accessories,XS,1,58.08,10.48,Online,51.99
TX000090,CUST00020,2025-09-06 00:00:00,Home & Living,L,1,273.58,0.0,Online,273.58
TX000091,CUST00020,2025-09-17 00:00:00,Accessories,L,1,39.96,0.0,Online,39.96
TX000092,CUST00020,2025-11-15 00:00:00,Footwear,M,1,185.04,6.6,In-Store,172.83
TX000093,CUST00020,2026-02-09 00:00:00,Apparel,L,2,92.18,0.0,In-Store,184.36
TX000094,CUST00021,2025-10-11 00:00:00,Apparel,XS,3,74.57,0.0,Online,223.71
TX000095,CUST00022,2025-05-28 00:00:00,Apparel,L,2,82.65,0.0,Online,165.3
TX000096,CUST00022,2025-06-17 00:00:00,Footwear,M,1,129.19,8.19,In-Store,118.61
TX000097,CUST00022,2025-07-02 00:00:00,Accessories,S,1,15.83,0.0,Online,15.83
TX000098,CUST00022,2025-09-27 00:00:00,Home & Living,S,1,224.02,0.0,Online,224.02
TX000099,CUST00022,2025-12-05 00:00:00,Home & Living,M,1,254.35,8.04,In-Store,233.9
TX000100,CUST00022,2026-02-08 00:00:00,Footwear,XS,3,90.39,24.36,Online,205.11
TX000101,CUST00022,2026-03-21 00:00:00,Apparel,M,1,116.53,0.0,Online,116.53
TX000102,CUST00022,2026-04-12 00:00:00,Home & Living,L,1,153.19,0.0,Online,153.19
TX000103,CUST00022,2026-04-17 00:00:00,Accessories,M,2,44.94,0.0,In-Store,89.88
TX000104,CUST00022,2026-05-12 00:00:00,Home & Living,S,1,79.36,18.83,Online,64.42
TX000105,CUST00023,2026-03-01 00:00:00,Home & Living,XL,1,220.08,0.0,In-Store,220.08
TX000106,CUST00023,2026-06-28 00:00:00,Accessories,S,1,72.23,0.0,In-Store,72.23
TX000107,CUST00024,2026-04-17 00:00:00,Home & Living,M,1,218.34,0.0,Online,218.34
TX000108,CUST00024,2026-04-22 00:00:00,Accessories,M,1,68.19,0.0,In-Store,68.19
TX000109,CUST00024,2026-05-02 00:00:00,Apparel,S,1,109.79,0.0,Online,109.79
TX000110,CUST00024,2026-05-04 00:00:00,Footwear,XS,2,103.69,31.88,In-Store,141.27
TX000111,CUST00024,2026-05-19 00:00:00,Accessories,M,1,24.4,7.81,In-Store,22.49
TX000112,CUST00024,2026-06-14 00:00:00,Home & Living,XS,2,93.6,0.0,In-Store,187.2
TX000113,CUST00025,2025-09-05 00:00:00,Accessories,M,1,52.89,0.0,In-Store,52.89
TX000114,CUST00025,2025-10-28 00:00:00,Accessories,L,2,18.28,0.0,In-Store,36.56
TX000115,CUST00025,2025-12-11 00:00:00,Home & Living,M,1,214.66,0.0,In-Store,214.66
TX000116,CUST00025,2026-01-22 00:00:00,Footwear,L,1,114.07,0.0,In-Store,114.07
TX000117,CUST00025,2026-03-23 00:00:00,Footwear,L,1,152.03,0.0,Online,152.03
TX000118,CUST00025,2026-05-12 00:00:00,Accessories,M,1,69.7,0.0,Online,69.7
TX000119,CUST00025,2026-05-16 00:00:00,Apparel,XL,4,46.43,0.0,In-Store,185.72
TX000120,CUST00025,2026-06-20 00:00:00,Apparel,M,1,34.19,0.0,In-Store,34.19
TX000121,CUST00026,2025-12-24 00:00:00,Accessories,S,3,64.11,0.0,Online,192.33
TX000122,CUST00026,2026-03-28 00:00:00,Footwear,XS,2,143.8,0.0,Online,287.6
TX000123,CUST00027,2025-02-05 00:00:00,Footwear,L,1,142.6,0.0,In-Store,142.6
TX000124,CUST00027,2025-02-09 00:00:00,Footwear,S,1,169.27,0.0,In-Store,169.27
TX000125,CUST00027,2025-03-28 00:00:00,Apparel,XS,1,56.18,7.57,Online,51.93
TX000126,CUST00027,2025-10-11 00:00:00,Accessories,M,3,18.19,0.0,Online,54.57
TX000127,CUST00028,2026-01-20 00:00:00,Accessories,S,1,38.33,0.0,In-Store,38.33
TX000128,CUST00028,2026-01-24 00:00:00,Accessories,XS,1,30.06,0.0,Online,30.06
TX000129,CUST00029,2025-06-30 00:00:00,Accessories,S,4,51.64,0.0,Online,206.56
TX000130,CUST00029,2025-11-26 00:00:00,Footwear,M,1,99.67,0.0,In-Store,99.67
TX000131,CUST00029,2026-01-05 00:00:00,Accessories,XL,1,66.95,0.0,Online,66.95
TX000132,CUST00029,2026-02-17 00:00:00,Accessories,L,1,23.85,0.0,In-Store,23.85
TX000133,CUST00029,2026-03-16 00:00:00,Footwear,XS,1,77.64,0.0,Online,77.64
TX000134,CUST00030,2025-10-07 00:00:00,Apparel,L,1,51.99,11.55,Online,45.99
TX000135,CUST00030,2026-03-18 00:00:00,Accessories,M,1,64.79,0.0,Online,64.79
TX000136,CUST00031,2026-04-03 00:00:00,Home & Living,L,1,284.41,0.0,In-Store,284.41
TX000137,CUST00031,2026-04-07 00:00:00,Apparel,M,1,108.86,9.74,Online,98.26
TX000138,CUST00031,2026-04-16 00:00:00,Footwear,M,4,86.68,26.56,Online,254.63
TX000139,CUST00031,2026-04-24 00:00:00,Home & Living,M,1,201.81,0.0,Online,201.81
TX000140,CUST00031,2026-05-05 00:00:00,Footwear,XS,1,62.21,0.0,In-Store,62.21
TX000141,CUST00031,2026-06-19 00:00:00,Home & Living,M,1,158.03,0.0,Online,158.03
TX000142,CUST00032,2025-03-05 00:00:00,Apparel,S,1,110.01,0.0,Online,110.01
TX000143,CUST00032,2025-11-03 00:00:00,Footwear,XS,1,190.32,24.27,Online,144.13
TX000144,CUST00032,2026-04-08 00:00:00,Home & Living,M,1,45.9,0.0,Online,45.9
TX000145,CUST00033,2025-06-08 00:00:00,Apparel,XS,1,47.21,0.0,Online,47.21
TX000146,CUST00033,2025-09-28 00:00:00,Apparel,S,2,113.03,6.78,Online,210.73
TX000147,CUST00034,2024-12-17 00:00:00,Accessories,L,2,74.87,0.0,In-Store,149.74
TX000148,CUST00035,2026-04-03 00:00:00,Apparel,M,1,73.7,0.0,Online,73.7
TX000149,CUST00035,2026-05-18 00:00:00,Accessories,L,1,43.53,0.0,In-Store,43.53
TX000150,CUST00036,2025-12-18 00:00:00,Footwear,L,2,54.52,35.58,Online,70.24
TX000151,CUST00036,2025-12-29 00:00:00,Home & Living,L,1,146.07,0.0,Online,146.07
TX000152,CUST00036,2026-04-14 00:00:00,Home & Living,XL,1,185.41,7.09,In-Store,172.26
TX000153,CUST00036,2026-04-20 00:00:00,Footwear,S,4,80.63,23.71,Online,246.05
TX000154,CUST00036,2026-04-25 00:00:00,Footwear,L,1,95.7,28.62,Online,68.31
TX000155,CUST00037,2024-09-20 00:00:00,Apparel,S,1,106.67,0.0,Online,106.67
TX000156,CUST00037,2024-10-03 00:00:00,Footwear,L,2,108.35,0.0,Online,216.7
TX000157,CUST00037,2025-02-19 00:00:00,Footwear,M,1,136.26,12.1,In-Store,119.77
TX000158,CUST00037,2025-03-19 00:00:00,Accessories,S,1,63.6,0.0,Online,63.6
TX000159,CUST00037,2025-05-18 00:00:00,Footwear,L,1,136.42,0.0,Online,136.42
TX000160,CUST00037,2025-08-05 00:00:00,Home & Living,S,1,253.21,0.0,Online,253.21
TX000161,CUST00037,2025-11-01 00:00:00,Footwear,XL,1,186.62,24.9,Online,140.15
TX000162,CUST00037,2026-01-11 00:00:00,Home & Living,L,2,177.5,0.0,Online,355.0
TX000163,CUST00037,2026-05-30 00:00:00,Footwear,M,1,164.28,17.91,In-Store,134.86
TX000164,CUST00038,2025-04-15 00:00:00,Footwear,S,1,145.83,0.0,Online,145.83
TX000165,CUST00038,2025-07-08 00:00:00,Accessories,L,1,10.7,14.17,Online,9.18
TX000166,CUST00038,2025-12-08 00:00:00,Apparel,M,1,87.42,0.0,Online,87.42
TX000167,CUST00039,2024-07-11 00:00:00,Footwear,S,1,150.71,14.56,Online,128.77
TX000168,CUST00039,2025-09-04 00:00:00,Accessories,M,1,13.1,0.0,Online,13.1
TX000169,CUST00039,2026-04-04 00:00:00,Apparel,L,1,54.29,5.12,In-Store,51.51
TX000170,CUST00040,2024-08-29 00:00:00,Footwear,XS,1,52.18,0.0,In-Store,52.18
TX000171,CUST00040,2024-11-14 00:00:00,Apparel,S,2,103.89,9.18,Online,188.71
TX000172,CUST00041,2025-07-04 00:00:00,Footwear,S,1,82.07,11.08,Online,72.98
TX000173,CUST00041,2026-01-12 00:00:00,Footwear,L,1,148.69,26.84,Online,108.78
TX000174,CUST00041,2026-06-11 00:00:00,Footwear,L,4,65.27,0.0,In-Store,261.08
TX000175,CUST00042,2025-09-08 00:00:00,Accessories,L,1,51.3,0.0,Online,51.3
TX000176,CUST00043,2026-05-27 00:00:00,Footwear,S,1,146.09,25.56,In-Store,108.75
TX000177,CUST00044,2025-11-20 00:00:00,Accessories,XL,1,29.28,7.04,Online,27.22
TX000178,CUST00044,2025-11-25 00:00:00,Footwear,M,2,99.3,27.53,In-Store,143.93
TX000179,CUST00044,2026-01-06 00:00:00,Home & Living,S,2,95.69,0.0,Online,191.38
TX000180,CUST00044,2026-02-22 00:00:00,Accessories,XS,1,34.8,0.0,Online,34.8
TX000181,CUST00044,2026-04-12 00:00:00,Apparel,S,3,29.95,0.0,In-Store,89.85
TX000182,CUST00044,2026-05-12 00:00:00,Accessories,L,1,15.08,0.0,Online,15.08
TX000183,CUST00044,2026-05-17 00:00:00,Accessories,S,1,29.7,0.0,In-Store,29.7
TX000184,CUST00045,2026-02-20 00:00:00,Footwear,M,1,120.61,0.0,In-Store,120.61
TX000185,CUST00046,2026-04-09 00:00:00,Home & Living,M,1,75.49,0.0,Online,75.49
TX000186,CUST00047,2025-05-10 00:00:00,Accessories,L,2,22.72,0.0,Online,45.44
TX000187,CUST00047,2025-09-21 00:00:00,Home & Living,M,1,280.31,0.0,In-Store,280.31
TX000188,CUST00048,2024-04-26 00:00:00,Accessories,L,1,38.36,0.0,In-Store,38.36
TX000189,CUST00048,2024-07-23 00:00:00,Footwear,S,1,105.23,18.49,Online,85.77
TX000190,CUST00048,2025-04-16 00:00:00,Home & Living,S,1,214.25,0.0,In-Store,214.25
TX000191,CUST00048,2025-05-10 00:00:00,Accessories,XS,1,49.14,0.0,In-Store,49.14
TX000192,CUST00048,2025-10-18 00:00:00,Footwear,S,1,137.92,0.0,Online,137.92
TX000193,CUST00049,2025-12-08 00:00:00,Footwear,M,2,188.65,0.0,Online,377.3
TX000194,CUST00049,2025-12-11 00:00:00,Accessories,XS,1,23.62,0.0,In-Store,23.62
TX000195,CUST00049,2026-01-18 00:00:00,Footwear,M,1,60.48,0.0,Online,60.48
TX000196,CUST00049,2026-03-20 00:00:00,Accessories,S,1,22.12,9.86,Online,19.94
TX000197,CUST00049,2026-04-05 00:00:00,Accessories,XL,1,13.83,12.59,Online,12.09
TX000198,CUST00049,2026-05-03 00:00:00,Apparel,S,2,40.78,14.44,Online,69.78
TX000199,CUST00049,2026-06-09 00:00:00,Footwear,M,1,164.08,14.31,In-Store,140.6
TX000200,CUST00050,2025-03-18 00:00:00,Footwear,M,1,152.28,16.03,Online,127.87
TX000201,CUST00050,2025-05-30 00:00:00,Apparel,L,4,107.94,0.0,Online,431.76
TX000202,CUST00050,2025-10-16 00:00:00,Accessories,L,1,17.99,0.0,In-Store,17.99
TX000203,CUST00050,2025-10-29 00:00:00,Footwear,S,1,148.83,0.0,Online,148.83
TX000204,CUST00050,2025-12-03 00:00:00,Home & Living,M,1,130.45,17.11,Online,108.13
TX000205,CUST00050,2026-02-27 00:00:00,Footwear,M,2,169.09,37.87,In-Store,210.11
